City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Itoman,JP,26.1247,127.6694,66.22,88,75,11.5,light intensity shower rain
80,Kokoda,PG,-8.8785,147.7407,80.17,87,100,0.89,overcast clouds
81,Camopi,GF,3.1655,-52.3158,69.85,100,60,2.3,broken clouds
82,Belaya Gora,RU,68.5333,146.4167,-14.51,98,100,1.48,light snow
83,Brecht,BE,51.35,4.6333,47.89,93,99,13.51,overcast clouds
84,Udachnyy,RU,66.4167,112.4,-18.31,99,79,3.65,broken clouds
85,Salalah,OM,17.0151,54.0924,78.89,50,20,2.3,few clouds
86,Cabedelo,BR,-6.9811,-34.8339,72.27,81,100,7.58,overcast clouds
87,Praia,CV,14.9215,-23.5087,68.54,68,75,13.8,broken clouds
88,New Norfolk,AU,-42.7826,147.0587,73.65,45,92,1.01,overcast clouds
89,Cidreira,BR,-30.1811,-50.2056,69.35,74,37,11.52,scattered clouds
90,Qaanaaq,GL,77.484,-69.3632,-13.95,62,56,8.48,broken clouds
91,Cherskiy,RU,68.75,161.3,-15.07,97,100,1.52,overcast clouds
92,Kozhva,RU,65.1073,57.0459,5.05,92,100,10.92,overcast clouds
93,Iqaluit,CA,63.7506,-68.5145,-18.31,68,100,15.01,overcast clouds
94,Hilo,US,19.7297,-155.09,73.13,77,20,5.75,few clouds
95,Saint-Augustin,CA,51.226,-58.6502,-0.36,85,100,10.49,overcast clouds
96,Bethel,US,41.3712,-73.414,30.04,87,100,1.99,snow
97,Nome,US,64.5011,-165.4064,-9.89,70,0,0.0,clear sky
98,Caravelas,BR,-17.7125,-39.2481,74.75,95,59,4.94,broken clouds
99,Gamba,GA,-2.65,10.0,75.29,89,99,0.83,overcast clouds
100,Tautira,PF,-17.7333,-149.15,80.62,75,48,16.51,light rain
101,Grafton,US,42.207,-71.6856,29.95,80,100,1.01,mist
102,Nicoya,CR,10.1483,-85.452,67.55,81,48,1.07,scattered clouds
103,Saskylakh,RU,71.9167,114.0833,-9.87,96,99,5.75,overcast clouds
104,Luderitz,NA,-26.6481,15.1594,67.73,72,0,19.8,clear sky
105,Vostok,RU,46.4856,135.8833,-3.51,89,100,10.0,overcast clouds
106,Zongolica,MX,18.6667,-96.9833,59.65,99,100,3.42,overcast clouds
107,Souillac,MU,-20.5167,57.5167,86.36,73,7,10.29,clear sky
108,Dali,CN,25.7,100.1833,54.41,34,5,5.01,clear sky
109,Mar Del Plata,AR,-38.0023,-57.5575,62.1,80,0,1.99,clear sky
110,Tasiilaq,GL,65.6145,-37.6368,14.16,70,77,4.65,broken clouds
111,Nyagan,RU,62.1406,65.3936,-2.65,96,72,4.45,broken clouds
112,Parrita,CR,9.5201,-84.3225,80.37,78,26,3.69,scattered clouds
113,Hamilton,US,39.1834,-84.5333,14.52,83,63,1.01,broken clouds
114,Paamiut,GL,61.994,-49.6678,20.91,80,100,28.41,light snow
115,Bengkulu,ID,-3.8004,102.2655,84.22,67,100,6.04,overcast clouds
116,Ostrovnoy,RU,68.0531,39.5131,14.34,91,98,11.52,overcast clouds
117,Leningradskiy,RU,69.3833,178.4167,-10.77,89,50,4.07,scattered clouds
118,Lahij,YE,13.1667,44.5833,70.47,82,98,5.01,overcast clouds
119,Beringovskiy,RU,63.05,179.3167,-3.86,100,99,1.39,overcast clouds
120,Nikolskoye,RU,59.7035,30.7861,22.89,100,93,3.62,overcast clouds
121,Wattegama,LK,6.7989,81.4808,85.12,54,53,4.23,broken clouds
122,Saint-Philippe,RE,-21.3585,55.7679,85.55,76,0,8.01,clear sky
123,Daru,PG,-9.0763,143.2092,83.75,71,94,6.96,overcast clouds
124,Kisangani,CD,0.5167,25.2,73.65,52,94,1.59,overcast clouds
125,Cabo San Lucas,MX,22.8909,-109.9124,69.51,59,7,4.83,clear sky
126,Ketchikan,US,55.3422,-131.6461,44.58,93,100,12.66,moderate rain
127,Moerai,PF,-22.4333,-151.3333,80.08,78,7,10.09,clear sky
128,Piripiri,BR,-4.2733,-41.7769,68.85,93,100,2.64,overcast clouds
129,Hay River,CA,60.8156,-115.7999,4.14,97,100,3.18,overcast clouds
130,Coquimbo,CL,-29.9533,-71.3436,63.23,84,15,3.04,few clouds
131,Bathsheba,BB,13.2167,-59.5167,75.06,84,20,5.75,few clouds
132,Thompson,CA,55.7435,-97.8558,-1.39,98,100,2.66,light snow
133,Talaya,RU,61.3833,152.75,-4.22,97,100,5.61,overcast clouds
134,Micheweni,TZ,-4.9667,39.8333,82.09,71,62,6.46,broken clouds
135,Margate,GB,51.3813,1.3862,51.96,83,39,4.0,scattered clouds
136,Kapaa,US,22.0752,-159.319,73.38,79,0,6.91,clear sky
137,Choya,RU,52.0108,86.5467,16.93,69,38,2.68,scattered clouds
138,Kodiak,US,57.79,-152.4072,26.11,68,20,21.85,light snow
139,Cape Town,ZA,-33.9258,18.4232,68.11,71,12,7.0,few clouds
140,Oranjemund,NA,-28.55,16.4333,64.09,87,14,11.88,few clouds
141,Faanui,PF,-16.4833,-151.75,81.3,74,10,14.79,light rain
142,Mahebourg,MU,-20.4081,57.7,86.25,75,5,10.4,clear sky
143,Cap Malheureux,MU,-19.9842,57.6142,87.48,63,1,8.01,clear sky
144,Kashi,CN,39.4547,75.9797,29.23,36,97,4.0,overcast clouds
145,Sorland,NO,67.667,12.6934,32.92,92,100,32.12,light snow
146,Kihei,US,20.785,-156.4656,70.97,87,18,4.07,few clouds
147,Jamame,SO,0.0722,42.7506,81.23,64,100,16.04,overcast clouds
148,Dunedin,NZ,-45.8742,170.5036,63.57,77,100,5.82,overcast clouds
149,Isangel,VU,-19.55,169.2667,78.91,94,100,6.91,shower rain
150,Upington,ZA,-28.4478,21.2561,80.98,39,0,4.61,clear sky
151,Ponorogo,ID,-7.8685,111.462,86.4,66,64,3.31,broken clouds
152,Gulu,UG,2.7746,32.299,76.3,27,9,10.29,clear sky
153,Hami,CN,42.8,93.45,27.41,39,2,3.91,clear sky
154,Vierzon,FR,47.2101,2.0625,39.47,93,70,4.99,broken clouds
155,Sisimiut,GL,66.9395,-53.6735,11.43,84,100,27.13,light snow
156,Esperance,AU,-33.8667,121.9,80.17,46,0,17.18,clear sky
157,Shaunavon,CA,49.6501,-108.4181,27.37,63,100,10.94,overcast clouds
158,Zeya,RU,53.75,127.2667,10.22,59,99,7.14,overcast clouds
159,Mehamn,NO,71.0357,27.8492,23.02,67,100,5.28,overcast clouds
160,Tuatapere,NZ,-46.1333,167.6833,67.82,55,100,4.65,overcast clouds
161,Kenora,CA,49.8167,-94.4337,0.77,77,99,5.01,overcast clouds
162,Okhotsk,RU,59.3833,143.3,15.03,78,100,14.36,overcast clouds
163,Grand Gaube,MU,-20.0064,57.6608,87.39,63,2,8.01,clear sky
164,Bilma,NE,18.6853,12.9164,51.67,25,0,9.93,clear sky
165,Makurdi,NG,7.7411,8.5121,75.72,23,100,8.05,overcast clouds
166,Brasy,CZ,49.837,13.5783,36.09,75,100,28.99,light snow
167,Nishihara,JP,26.1842,127.7558,65.48,88,75,11.5,light intensity shower rain
168,Verkhoyansk,RU,67.5447,133.385,-26.52,99,98,2.82,overcast clouds
169,Tilichiki,RU,60.4667,166.1,27.52,98,100,11.45,snow
170,Aklavik,CA,68.2191,-135.0107,-26.68,87,6,6.15,clear sky
171,Sonoita,MX,31.85,-112.8333,61.54,25,99,5.44,overcast clouds
172,Ostersund,SE,63.1792,14.6357,32.61,86,75,14.97,broken clouds
173,Husavik,IS,66.0449,-17.3389,26.44,87,100,23.89,snow
174,Pangnirtung,CA,66.1451,-65.7125,-13.72,99,100,3.0,overcast clouds
175,Ozinki,RU,51.1786,49.6769,4.48,100,90,3.27,overcast clouds
176,Egvekinot,RU,66.3167,-179.1667,-4.27,73,65,4.07,broken clouds
177,Kaeo,NZ,-35.1,173.7833,70.32,71,95,11.59,overcast clouds
178,Talnakh,RU,69.4865,88.3972,-0.8,95,100,10.07,overcast clouds
179,Maniitsoq,GL,65.4167,-52.9,11.52,88,100,10.92,light snow
180,Altay,CN,47.8667,88.1167,11.75,64,0,0.85,clear sky
181,Longyearbyen,SJ,78.2186,15.6401,8.44,66,0,14.97,clear sky
182,Panaba,MX,21.2833,-88.2667,69.8,65,85,17.58,overcast clouds
183,Yabrud,SY,33.9674,36.6574,29.86,70,25,3.36,scattered clouds
184,Zhuhai,CN,22.2769,113.5678,70.72,73,20,10.36,few clouds
185,Xining,CN,36.6167,101.7667,22.69,46,15,3.44,few clouds
186,Megalopoli,GR,37.4011,22.1422,45.41,82,100,4.65,overcast clouds
187,Isiolo,KE,0.3546,37.5822,77.56,43,39,2.89,scattered clouds
188,Chabahar,IR,25.2919,60.643,70.68,64,0,4.14,clear sky
