City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Asyut,EG,2022-01-26 02:12:42,27.181,31.1837,45.12,48,0,5.44
67,Kruisfontein,ZA,2022-01-26 02:12:42,-34.0033,24.7314,66.88,93,100,7.92
68,East London,ZA,2022-01-26 02:12:42,-33.0153,27.9116,71.96,85,99,3.94
69,Kapaa,US,2022-01-26 02:12:42,22.0752,-159.319,78.78,67,20,3.0
70,Bethel,US,2022-01-26 02:12:43,41.3712,-73.414,32.36,62,0,0.0
71,Yellowknife,CA,2022-01-26 02:12:43,62.456,-114.3525,0.55,85,75,10.36
72,Port Alfred,ZA,2022-01-26 02:12:43,-33.5906,26.891,71.87,86,100,11.07
73,Cape Town,ZA,2022-01-26 02:09:37,-33.9258,18.4232,65.88,85,3,5.99
74,Te Anau,NZ,2022-01-26 02:12:44,-45.4167,167.7167,62.73,55,56,7.36
75,Bathsheba,BB,2022-01-26 02:12:44,13.2167,-59.5167,76.86,77,5,17.38
76,Teya,RU,2022-01-26 02:12:44,60.3778,92.6267,-21.24,100,38,2.01
77,Sharanga,RU,2022-01-26 02:12:44,57.1775,46.5396,8.08,95,100,6.24
78,Castro,BR,2022-01-26 02:12:45,-24.7911,-50.0119,64.83,79,5,4.29
79,Noshiro,JP,2022-01-26 02:12:45,40.2039,140.0242,34.23,95,100,4.79
80,Khash,IR,2022-01-26 02:12:45,28.2211,61.2158,41.4,34,0,2.68
81,Victoria,HK,2022-01-26 02:08:19,22.2855,114.1577,70.97,83,99,4.0
82,Butaritari,KI,2022-01-26 02:12:46,3.0707,172.7902,82.15,79,42,16.58
83,Midland,US,2022-01-26 02:09:03,31.9974,-102.0779,54.27,44,0,13.8
84,Swellendam,ZA,2022-01-26 02:12:46,-34.0226,20.4417,66.81,82,89,6.42
85,Mehamn,NO,2022-01-26 02:12:46,71.0357,27.8492,30.67,65,100,24.7
86,Pevek,RU,2022-01-26 02:12:46,69.7008,170.3133,-34.11,100,77,3.58
87,Beringovskiy,RU,2022-01-26 02:13:47,63.05,179.3167,-21.37,92,41,1.01
88,Ahipara,NZ,2022-01-26 02:13:47,-35.1667,173.1667,76.37,69,7,8.86
89,Iqaluit,CA,2022-01-26 02:11:46,63.7506,-68.5145,-29.49,98,100,2.39
90,Mecca,SA,2022-01-26 02:13:47,21.4267,39.8261,66.4,67,0,3.62
91,Touros,BR,2022-01-26 02:13:48,-5.1989,-35.4608,79.7,76,100,13.51
92,Keene,US,2022-01-26 02:13:48,42.9337,-72.2781,26.85,68,0,4.0
93,Puerto Ayora,EC,2022-01-26 02:09:42,-0.7393,-90.3518,73.63,90,68,5.64
94,Hohhot,CN,2022-01-26 02:09:07,40.8106,111.6522,17.71,53,100,4.9
95,Saskylakh,RU,2022-01-26 02:13:48,71.9167,114.0833,9.63,85,100,18.92
96,Half Moon Bay,US,2022-01-26 02:13:48,37.4636,-122.4286,56.91,83,20,3.0
97,Airai,TL,2022-01-26 02:13:49,-8.9266,125.4092,73.06,59,100,5.19
98,Imeni Zhelyabova,RU,2022-01-26 02:13:49,58.9544,36.5956,11.59,98,88,4.36
99,Hirara,JP,2022-01-26 02:13:49,24.8,125.2833,69.1,73,95,17.76
100,Vostok,RU,2022-01-26 02:13:50,46.4856,135.8833,10.36,87,100,2.53
101,Pontes E Lacerda,BR,2022-01-26 02:13:50,-15.2261,-59.3353,75.45,82,100,2.98
102,Swan Hill,AU,2022-01-26 02:11:28,-35.3378,143.5544,89.87,37,53,10.63
103,Opuwo,NA,2022-01-26 02:13:50,-18.0607,13.84,71.13,67,17,6.29
104,Kaitangata,NZ,2022-01-26 02:13:50,-46.2817,169.8464,57.92,76,100,5.28
105,Fairbanks,US,2022-01-26 02:13:51,64.8378,-147.7164,17.94,74,20,5.75
106,Tiznit,MA,2022-01-26 02:13:51,29.5833,-9.5,50.49,87,44,4.47
107,Yerbogachen,RU,2022-01-26 02:13:51,61.2767,108.0108,-19.21,100,99,3.29
108,Nome,US,2022-01-26 02:09:00,64.5011,-165.4064,-9.33,77,20,0.0
109,Trairi,BR,2022-01-26 02:13:52,-3.2778,-39.2689,80.38,76,99,9.19
110,Thessalon,CA,2022-01-26 02:13:52,46.2501,-83.5666,1.89,99,63,4.52
111,Oussouye,SN,2022-01-26 02:13:52,12.485,-16.5469,78.21,15,100,6.98
112,Klaksvik,FO,2022-01-26 02:13:52,62.2266,-6.589,41.92,75,79,46.15
113,Crotone,IT,2022-01-26 02:13:53,39.0851,17.1178,34.93,48,0,5.48
114,Brewster,US,2022-01-26 02:13:53,41.3973,-73.6171,32.59,63,0,0.0
115,Tuktoyaktuk,CA,2022-01-26 02:13:53,69.4541,-133.0374,11.7,89,100,29.17
116,Ribeira Grande,PT,2022-01-26 02:09:43,38.5167,-28.7,59.88,79,100,6.8
117,Kantang,TH,2022-01-26 02:13:53,7.4054,99.5156,81.77,70,47,4.09
118,Hermanus,ZA,2022-01-26 02:13:54,-34.4187,19.2345,66.79,86,96,12.62
119,Abu Samrah,SY,2022-01-26 02:13:54,35.3029,37.1841,41.63,75,73,8.97
120,Nanortalik,GL,2022-01-26 02:13:54,60.1432,-45.2371,26.67,94,100,7.05
121,Port Keats,AU,2022-01-26 02:13:54,-14.25,129.55,78.44,90,100,4.05
122,Port Lincoln,AU,2022-01-26 02:13:55,-34.7333,135.8667,74.68,76,80,6.91
123,Uarini,BR,2022-01-26 02:13:55,-2.99,-65.1083,73.45,99,100,2.3
124,Vysokogornyy,RU,2022-01-26 02:12:10,50.1167,139.15,7.29,84,69,2.98
125,Anloga,GH,2022-01-26 02:13:55,5.7947,0.8973,79.38,69,6,0.43
126,Eseka,CM,2022-01-26 02:13:56,3.65,10.7667,72.09,99,86,1.05
127,Toucheng,TW,2022-01-26 02:13:56,24.8592,121.8233,73.6,89,98,5.28
128,College,US,2022-01-26 02:13:56,64.8569,-147.8028,17.92,72,40,5.75
129,Hambantota,LK,2022-01-26 02:13:56,6.1241,81.1185,73.63,82,100,8.3
130,Port-Gentil,GA,2022-01-26 02:13:57,-0.7193,8.7815,79.92,79,62,7.18
131,Roma,US,2022-01-26 02:12:11,43.2128,-75.4557,19.54,73,100,6.91
132,Oktyabrskoye,RU,2022-01-26 02:13:57,43.0645,44.7417,17.22,91,27,3.85
133,Geraldton,AU,2022-01-26 02:13:57,-28.7667,114.6,84.61,32,0,12.66
134,Kormilovka,RU,2022-01-26 02:13:58,55.0026,74.1028,-0.65,100,81,4.9
135,Vrangel,RU,2022-01-26 02:14:58,42.7297,133.0839,27.59,46,71,6.51
136,Vanimo,PG,2022-01-26 02:14:58,-2.6741,141.3028,85.48,67,63,4.99
137,Juneau,US,2022-01-26 02:14:58,58.3019,-134.4197,39.22,95,100,6.91
138,Haimen,CN,2022-01-26 02:14:59,23.1935,116.6142,64.29,81,93,18.03
139,Cockburn Town,TC,2022-01-26 02:13:28,21.4612,-71.1419,76.96,72,0,9.01
140,Bereda,ES,2022-01-26 02:14:59,43.2686,-7.5406,38.41,99,18,0.58
141,Tampin,MY,2022-01-26 02:14:59,2.4701,102.2302,81.93,76,84,6.08
142,Upernavik,GL,2022-01-26 02:13:00,72.7868,-56.1549,0.34,95,98,7.81
143,Naze,JP,2022-01-26 02:15:00,28.3667,129.4833,63.52,63,35,10.94
